symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BRK-B,2021-10-15 00:00:00+00:00,284.21,284.97,282.27,283.94,4315875,284.21,284.97,282.27,283.94,4315875,0.0,1.0
BRK-B,2021-10-18 00:00:00+00:00,282.59,283.51,281.57,282.83,3552083,282.59,283.51,281.57,282.83,3552083,0.0,1.0
BRK-B,2021-10-19 00:00:00+00:00,284.83,285.15,283.0501,283.6,2685424,284.83,285.15,283.0501,283.6,2685424,0.0,1.0
BRK-B,2021-10-20 00:00:00+00:00,287.49,287.7,284.32,284.34,3148731,287.49,287.7,284.32,284.34,3148731,0.0,1.0
BRK-B,2021-10-21 00:00:00+00:00,286.82,287.28,285.25,286.99,2488982,286.82,287.28,285.25,286.99,2488982,0.0,1.0
BRK-B,2021-10-22 00:00:00+00:00,289.24,289.8,286.24,287.66,3407466,289.24,289.8,286.24,287.66,3407466,0.0,1.0
BRK-B,2021-10-25 00:00:00+00:00,290.26,290.47,287.6,289.7,3143636,290.26,290.47,287.6,289.7,3143636,0.0,1.0
BRK-B,2021-10-26 00:00:00+00:00,290.85,292.22,290.3,290.65,3884790,290.85,292.22,290.3,290.65,3884790,0.0,1.0
BRK-B,2021-10-27 00:00:00+00:00,287.78,290.945,287.64,290.85,3692629,287.78,290.945,287.64,290.85,3692629,0.0,1.0
BRK-B,2021-10-28 00:00:00+00:00,289.72,289.86,287.2,288.21,3308755,289.72,289.86,287.2,288.21,3308755,0.0,1.0
BRK-B,2021-10-29 00:00:00+00:00,287.01,290.0,286.74,288.81,4421265,287.01,290.0,286.74,288.81,4421265,0.0,1.0
BRK-B,2021-11-01 00:00:00+00:00,286.24,288.42,285.62,288.05,2760895,286.24,288.42,285.62,288.05,2760895,0.0,1.0
BRK-B,2021-11-02 00:00:00+00:00,287.93,288.5,285.22,286.61,3832316,287.93,288.5,285.22,286.61,3832316,0.0,1.0
BRK-B,2021-11-03 00:00:00+00:00,288.72,288.88,286.13,287.21,2775591,288.72,288.88,286.13,287.21,2775591,0.0,1.0
BRK-B,2021-11-04 00:00:00+00:00,287.69,289.13,285.25,289.13,3427470,287.69,289.13,285.25,289.13,3427470,0.0,1.0
BRK-B,2021-11-05 00:00:00+00:00,287.88,290.7,286.82,288.83,3584224,287.88,290.7,286.82,288.83,3584224,0.0,1.0
BRK-B,2021-11-08 00:00:00+00:00,288.8,295.65,288.61,290.0,4723236,288.8,295.65,288.61,290.0,4723236,0.0,1.0
BRK-B,2021-11-09 00:00:00+00:00,286.35,288.99,285.3,288.79,3580352,286.35,288.99,285.3,288.79,3580352,0.0,1.0
BRK-B,2021-11-10 00:00:00+00:00,285.32,287.24,284.52,286.49,3422235,285.32,287.24,284.52,286.49,3422235,0.0,1.0
BRK-B,2021-11-11 00:00:00+00:00,284.65,287.07,284.245,286.5,2861553,284.65,287.07,284.245,286.5,2861553,0.0,1.0
BRK-B,2021-11-12 00:00:00+00:00,285.99,286.1,283.8,284.88,2826046,285.99,286.1,283.8,284.88,2826046,0.0,1.0
BRK-B,2021-11-15 00:00:00+00:00,284.67,286.99,284.24,286.6,3219074,284.67,286.99,284.24,286.6,3219074,0.0,1.0
BRK-B,2021-11-16 00:00:00+00:00,283.36,285.16,283.12,284.47,4260345,283.36,285.16,283.12,284.47,4260345,0.0,1.0
BRK-B,2021-11-17 00:00:00+00:00,281.59,283.12,280.9,283.12,3741007,281.59,283.12,280.9,283.12,3741007,0.0,1.0
BRK-B,2021-11-18 00:00:00+00:00,280.63,281.75,279.25,281.1,3338256,280.63,281.75,279.25,281.1,3338256,0.0,1.0
BRK-B,2021-11-19 00:00:00+00:00,279.99,280.97,278.01,280.96,4542009,279.99,280.97,278.01,280.96,4542009,0.0,1.0
BRK-B,2021-11-22 00:00:00+00:00,284.97,286.44,280.01,280.73,5036934,284.97,286.44,280.01,280.73,5036934,0.0,1.0
BRK-B,2021-11-23 00:00:00+00:00,288.56,288.73,285.05,285.15,4490739,288.56,288.73,285.05,285.15,4490739,0.0,1.0
BRK-B,2021-11-24 00:00:00+00:00,287.28,288.315,286.09,287.44,4924413,287.28,288.315,286.09,287.44,4924413,0.0,1.0
BRK-B,2021-11-26 00:00:00+00:00,283.09,284.71,279.76,280.28,4440721,283.09,284.71,279.76,280.28,4440721,0.0,1.0
BRK-B,2021-11-29 00:00:00+00:00,282.12,284.98,281.42,284.0,5392385,282.12,284.98,281.42,284.0,5392385,0.0,1.0
BRK-B,2021-11-30 00:00:00+00:00,276.69,280.2,275.89,279.94,9928918,276.69,280.2,275.89,279.94,9928918,0.0,1.0
BRK-B,2021-12-01 00:00:00+00:00,275.0,281.72,274.79,279.54,5171164,275.0,281.72,274.79,279.54,5171164,0.0,1.0
BRK-B,2021-12-02 00:00:00+00:00,279.09,280.37,275.29,276.68,4925721,279.09,280.37,275.29,276.68,4925721,0.0,1.0
BRK-B,2021-12-03 00:00:00+00:00,277.43,279.97,275.27,278.71,5925715,277.43,279.97,275.27,278.71,5925715,0.0,1.0
BRK-B,2021-12-06 00:00:00+00:00,281.38,283.1678,278.73,278.73,5526940,281.38,283.1678,278.73,278.73,5526940,0.0,1.0
BRK-B,2021-12-07 00:00:00+00:00,284.97,285.41,282.12,282.42,5767826,284.97,285.41,282.12,282.42,5767826,0.0,1.0
BRK-B,2021-12-08 00:00:00+00:00,283.72,285.97,282.28,284.97,3257877,283.72,285.97,282.28,284.97,3257877,0.0,1.0
BRK-B,2021-12-09 00:00:00+00:00,284.52,284.95,281.78,283.77,3446249,284.52,284.95,281.78,283.77,3446249,0.0,1.0
